feature,importance
sma50_slope,249
ATRr_14,226
MACDh_12_26_9,202
volatility_atr_norm,201
BBB_20_2.0,201
MACDs_12_26_9,189
hour_utc,189
dist_from_high20,185
day_of_week,170
dist_from_low20,164
RSI_14,158
MACD_12_26_9,156
SMA_50,153
price_vs_SMA50,150
BBL_20_2.0,146
volatility_bbw_norm,139
BBP_20_2.0,121
total_range,118
STOCHk_14_3_3,109
STOCHd_14_3_3,107
rolling_low_20,107
BBU_20_2.0,104
lower_wick,101
rolling_high_20,99
BBM_20_2.0,96
SMA_10,87
upper_wick,83
body_to_range_ratio,80
lower_wick_ratio,77
upper_wick_ratio,76
body_size,67
EMA_20,63
is_london_open,31
is_green_candle,17
is_red_candle,12
trend_dir_sma_confirm,10
is_london_ny_overlap,9
is_ny_open,8
price_touch_bbl,6
is_harami_bullish,5
is_3_white_soldiers_like,4
stoch_bearish_cross_signal,4
stoch_bullish_cross_signal,4
is_3_black_crows_like,3
is_harami_bearish,3
rsi_overbought,3
price_touch_bbu,2
is_engulfing_bearish,2
macd_bearish_cross_signal,2
is_shooting_star_like,1
macd_bullish_cross_signal,1
is_piercing_line,0
is_engulfing_bullish,0
is_hammer_like,0
is_marubozu_bullish,0
is_marubozu_bearish,0
is_doji,0
SMA_20,0
is_dark_cloud,0
stoch_oversold,0
sma10_cross_sma50_bullish_signal,0
rsi_oversold,0
is_evening_star_like,0
is_morning_star_like,0
stoch_overbought,0
sma10_cross_sma50_bearish_signal,0
